cuisine,calories,proteins,carbohydrates,fats
Aloo Gobi,94 kcal,2.5g,13.8g,3.2g
Baingan Bharta,72 kcal,1.6g,13.8g,1.4g
Bhindi Masala,33 kcal,1.9g,7.3g,0.2g
Chapati (Roti),297 kcal,7.7g,56.1g,2.2g
Rice (Cooked),130 kcal,2.7g,28.1g,0.2g
Paratha (Plain),297 kcal,8.1g,36.1g,14.2g
Puri,315 kcal,4.3g,37.3g,16.4g
Samosa (Homemade),262 kcal,6.1g,33.8g,11.1g
Kachori,282 kcal,6.1g,40.6g,10.9g
Dhokla,180 kcal,5.9g,29.5g,4.6g
Pav Bhaji,185 kcal,2.5g,32.2g,5.4g
Rajma Chawal (with rice),162 kcal,6.6g,32.4g,0.5g
Tandoori Chicken,165 kcal,27.2g,0.8g,5.5g
Biryani (with chicken),200 kcal,13.3g,27.2g,4.6g
Pulao (with vegetables),132 kcal,2.7g,26.9g,1.7g
Malai Kofta,290 kcal,5.5g,17.8g,21.1g
Chicken Tikka Masala,260 kcal,16.2g,10.6g,17.3g
Palak Paneer,176 kcal,7.1g,11.9g,11.3g
Mutton Curry,260 kcal,17.5g,8.1g,17.8g
Chole Bhature (with chole),297 kcal,5.7g,53.5g,7.8g
Gulab Jamun (2 pieces),305 kcal,2.8g,63.1g,6.4g
Jalebi (1 piece),150 kcal,1g,35g,0.5g
Kheer,108 kcal,3.6g,18.3g,2.1g
Saffron Rice,134 kcal,2.2g,29.2g,0.2g
Tandoori Roti,206 kcal,7.4g,40.1g,1.6g
Punjabi Lassi,81 kcal,3.8g,8.5g,3.7g
Pani Puri (6 puris),150 kcal,3g,20g,7g
Dahi Vada (2 vadas),115 kcal,5g,17g,3.5g
Papdi Chaat,105 kcal,1.5g,18.5g,3g
Ragda Pattice,212 kcal,5g,37g,4.6g
Misal Pav,264 kcal,11.5g,41.3g,5.5g
Vada Pav,287 kcal,5g,37g,13g
Batata Vada (1 vada),183 kcal,3.3g,18g,10.5g
